symbol,longAccount,longShortRatio,shortAccount,timestamp
BTCUSDT,0.6988,2.3201,0.3012,2026-01-22
BTCUSDT,0.7129,2.4831,0.2871,2026-01-23
BTCUSDT,0.6971,2.3014,0.3029,2026-01-24
BTCUSDT,0.7158,2.5186,0.2842,2026-01-25
BTCUSDT,0.7405,2.8536,0.2595,2026-01-26
BTCUSDT,0.7051,2.3910,0.2949,2026-01-27
BTCUSDT,0.6787,2.1124,0.3213,2026-01-28
BTCUSDT,0.6712,2.0414,0.3288,2026-01-29
BTCUSDT,0.7665,3.2827,0.2335,2026-01-30
BTCUSDT,0.7161,2.5224,0.2839,2026-01-31
BTCUSDT,0.7326,2.7397,0.2674,2026-02-01
BTCUSDT,0.7196,2.5663,0.2804,2026-02-02
BTCUSDT,0.6967,2.2971,0.3033,2026-02-03
BTCUSDT,0.7401,2.8476,0.2599,2026-02-04
BTCUSDT,0.7428,2.8880,0.2572,2026-02-05
BTCUSDT,0.7213,2.5881,0.2787,2026-02-06
BTCUSDT,0.6492,1.8506,0.3508,2026-02-07
BTCUSDT,0.6200,1.6316,0.3800,2026-02-08
BTCUSDT,0.6281,1.6889,0.3719,2026-02-09
BTCUSDT,0.6175,1.6144,0.3825,2026-02-10
BTCUSDT,0.6520,1.8736,0.3480,2026-02-11
BTCUSDT,0.6531,1.8827,0.3469,2026-02-12
BTCUSDT,0.6998,2.3311,0.3002,2026-02-13
BTCUSDT,0.6125,1.5806,0.3875,2026-02-14
BTCUSDT,0.6275,1.6846,0.3725,2026-02-15
BTCUSDT,0.6494,1.8523,0.3506,2026-02-16
BTCUSDT,0.6694,2.0248,0.3306,2026-02-17
BTCUSDT,0.6803,2.1279,0.3197,2026-02-18
BTCUSDT,0.7270,2.6630,0.2730,2026-02-19
BTCUSDT,0.6888,2.2134,0.3112,2026-02-20
